已经用了半个月来评价的，首先oppo的音质没得说，像素也非常不错，不愧是拍照手机，美颜效果很好；机身大小合适，外形也很漂亮，轻薄，运行流畅，内存很大，完全不用担心容量问题；还送了臂包，手机壳，蓝牙音响。手机买来就有贴膜这个非常贴心，很满意的一次购物。,美颜效果好
以前一直用的苹果，这次一眼看中这个红色，特别喜欢，买回来用了几天，机身很薄，不过稍微轻了点，颜色非常正，手感也很好，系统简单干净，跟苹果差不多，比华为的系统好用，这一点是我最满意的，有些方面甚至比苹果人性化多了，用了两天系统也不卡，偶尔一点点的卡顿也是可以接受的。再说说拍照，自带的美颜效果不错，感觉拍出来比苹果更好看，后置拍照比较真实，但是防抖效果不好，拍的活物总是容易花，这一点作为主打表情不是特别满意。其他都还不错，越来越热爱国产了！,美颜效果好
以前一直用的苹果，这次一眼看中这个红色，特别喜欢，买回来用了几天，机身很薄，不过稍微轻了点，颜色非常正，手感也很好，系统简单干净，跟苹果差不多，比华为的系统好用，这一点是我最满意的，有些方面甚至比苹果人性化多了，用了两天系统也不卡，偶尔一点点的卡顿也是可以接受的。再说说拍照，自带的美颜效果不错，感觉拍出来比苹果更好看，后置拍照比较真实，但是防抖效果不好，拍的活物总是容易花，这一点作为主打表情不是特别满意。其他都还不错，越来越热爱国产了！,相机功能少/弱
音质很棒 照相功能就那样,相机功能少/弱
用了来评的，指纹解锁感应灵敏，玫瑰金外观很好看，电池耐用，屏幕大看视频超爽，相机不错美颜效果强大。店家送的蓝牙音响音效很挺好，音响忘记拍照片了。大爱,美颜效果好
用了一个多星期了，感觉不错，特别是充电超快，而且充半小时差不多能用一下午，连网也很强，黑色裸机很漂亮，第一次用oppo希望用的寿命长，拍照后置拍风景还好拍人效果差，前置的自拍美颜效果不错，送的东西今天收到了，总之对这个手机挺满意的,美颜效果好
用了一会，感觉还不错，就是觉得照相不太清楚！,拍照模糊/不清晰
用了一周，电池续航能力不错，周日充电周三下午还有29%的电量。拍照效果白天还不错，夜间光线稍暗点就较模糊了。指纹识别速度还可以，其他功能还在体验中。,夜拍拍摄效果差
物流太快了，24小时内到货，打开满满的是惊喜，送的礼物太多了，手机也很漂亮，特别是照相太清晰了，并且很美颜，棒棒的！,美颜效果好
X9手机从开始用到现在已经10天了，下面两张照片都是用手机自带相机拍的，美颜效果特别好，我现在拍照都不怎么用其他的美颜相机了，手机其他的功能都很棒，用着很方便很满意，我是用京东首付1598买的，剩下的1200用白条，现在款虽然还没还清但已经能用到这么好的手机，我很开心。vivo X9最有特点的双摄也是我最满意的一个优点，只是可惜买的时候没有128G的内存的了，只能选择的64G，不过对我来说也够用了，总之，这款手机我非常非常喜欢。,美颜效果好
安兔兔验机是正品，使用很流畅。拍照清晰，手机自带的美颜功能也很棒。前置2000万柔光自拍，照亮你的美,美颜效果好
手机收到后感觉蛮大的，也漂亮耐看，不论是手感还是日常使用体验都非常巴适，前后摄像头成长效果也很不错，前摄像头2000w不论是自拍美颜效果、虚化效果都令人惊讶，补光灯不是很刺眼，非常适合自拍直播什么的 拍照很清晰，很多朋友都说超清晰的。 音量很大 ，开最小声还是很大声。,美颜效果好
手机收到后感觉蛮大的，也漂亮耐看，不论是手感还是日常使用体验都非常巴适，前后摄像头成长效果也很不错，前摄像头2000w不论是自拍美颜效果、虚化效果都令人惊讶，补光灯不是很刺眼，非常适合自拍直播什么的 拍照很清晰，很多朋友都说超清晰的。 音量很大 ，开最小声还是很大声。 111111,美颜效果好
就两点不好，第一不能抓拍，象苹果秒拍，可以拍下精彩的一刻，步步高稍微动作大点拍的就模糊了?。需要改进让拍照做的更完美。第二点手机耗电量真快，这次我买了两部，一部电量可以用一天，这部就那么耐用了，一个上午就消耗掉一般了，还没有一直在玩。亲身体验。谢谢。,拍照模糊/不清晰
看中很久了，买给妈妈的新年礼物，尤其是2000万双摄虚化自拍美颜功能，妈妈喜欢的很，系统非常流畅，外观非常女性，对于硬件功能等老一辈可能懂得并不多，但是有着强大的硬件后台支撑着手机系统的流畅性，以及强大的摄像功能，加之微信的普及，我很高兴能让妈妈用的开心用的舒服！,美颜效果好
妈妈很喜欢美颜拍照功能???,美颜效果好
运行速度快没得说，就是拍照片清晰度不太好，其他都好。,拍照模糊/不清晰
美颜效果很好，可以即刻使用，这点比苹果手机好，还有指纹密码功能挺好的，重要的是还可以一屏多用,美颜效果好
手机收到了，用着不错拍照美颜效果特好,美颜效果好
屏幕色彩很靓丽，手机功能很多，尤其喜欢分屏功能，可以边看视频边聊天，拍照功能很强大，美颜效果很好,美颜效果好
应用了一段时间，还不错，白天拍照功能挺好，晚上街拍效果就差了点，，系统应用流畅，性价比高。,夜拍拍摄效果差
用了没几天，指纹识别不行了，彻底坏了。相机不高清，各种卡的，最好买小米和魅族，不要买这个牌子。买了必会后悔！！！,拍照模糊/不清晰
用了一星期啦，超级好用，颜色漂亮手机超薄，自拍很清晰，美颜功能很强大，最重要的是电池耐用，比之前的x6耐用，手机反应速度快，爱不释手，赠的礼品特别是登山包很喜欢，过年回家就派上用场啦，客服态度很好，赞赞赞，物流也是，第二天就到货啦，大爱,美颜效果好
照片拍的不是很清晰，完全达不到2000万像素的效果，并且不稳定，经常有模糊的情况（拍照时手臂夹紧，并没有明显的抖动，同样环境拍摄效果和稳定度和苹果手机有非常大的差距）。但是夜拍功能比苹果手机好用一些。美颜过度，略有失真变形。还有再给京东提一次意见，送货能不能送到客户手上，而不是每次都是下楼自取！！！很让人反感的送货方式，别的快递公司都是送到前台或者家门口。,拍照模糊/不清晰
"这是第四个vivo手机了，发货非常快，说一下手机吧，3498这价位这手机有点失望，外置摄像头真的是2000w像素吗这也不像呀太不清晰了有严重颗粒感色彩很失真，真不如我vivo xplay3s照的清晰，这点我好失望这样下去我就不买vivo了，前两张是xplay 3s照的，后两张是x9plus照的，看看吧，3498就这么糊弄真的不行！从x1,xplay,xplay3s到这个，我挺忠诚的但我今天心寒了",拍照模糊/不清晰
用了差不多十天了，觉得很不错，前置美颜相机很好用，系统也很流畅，充电很快，可以用很久，喜欢！,美颜效果好
照相功能不错哦！美颜的！很漂亮，很喜欢！用了一段时间才来评价的,美颜效果好
这手机挺不错的，而且颜色很喜欢，这主要是速度也挺快的，内存嘛还可以，拍照挺不错，摄像头也很好，最喜欢的是他没人，相机就是那个相机的美颜了，特别不错，反正挺满意的，第一次买这个牌子的手机。,美颜效果好
柔光双射，好评推荐，赠品给的很多，第一次用vivo感觉比原来的六好用，自带美颜，效果好评！,美颜效果好
用过后才来评价的，手机很好用，美颜相机都不用下载了，非常适合爱美的女星！选个个粉红色，推荐！还送了好多东西，比实体店划算！,美颜效果好
用了将近5天，操作流畅，指纹解锁方便，前置2000万感觉还好，后置摄像头比较清楚，虚化美颜效果不错，音质也还可以，电池比较耐用。整体我很满意！希望不要出现质量问题。,美颜效果好
刚买OPPOR9S照相垃圾上传视频照片更垃圾模糊的垃圾，以后打死都不买 刚买OPPOR9S照相垃圾上传视频照片更垃圾模糊的垃圾，以后打死都不买,拍照模糊/不清晰
用了一阵才来评价。用了四年多苹果，想换安卓机，就考虑了这款机。总体速度不错，拍照感觉微弱的手抖都会糊，是个小缺点。锁屏只能按开机键，按键寿命会降低。其他来看整体不错，和苹果比没有太大的使用落差。电池很给力，用原装充电器充电迅速，这点给赞,拍照模糊/不清晰
怎么说呢 外观没我想象中的那么精致 一只手来说略大 但机身很薄 用了几天 指纹解锁超级快 这点让我很惊喜 一般来说也是很流畅的 但是现在就有卡机 闪退的现象 前置摄像头像素不错 后置虽然像素不错 但不够高清 第一张照片是随拍的后置 第二张是前置,拍照模糊/不清晰
后照相头很模糊，有很多微粒子，不知道是不是要调，希望客服联系我，因为新手机不想下载太多软件，微信jijinheng9527,拍照模糊/不清晰
买了灰色不喜欢，调换成玫瑰金。用起来还行，不过拍照的时候红色拍起来就太失真了，照片会发红，放大会比较模糊，然后屏幕的分辨率也没有很好，之前用的6sp，拍红色照片和分辨率对比起来还是完胜这把，本来就是买来拍照用的，结果真的有点失望&hellip;&hellip;,拍照模糊/不清晰
拍照片不清晰（中关村在线触屏版）优点：电池给力，屏幕大音质好，...缺点：相机像素低，处理器性能一般，信号差...,拍照模糊/不清晰
基本满意。缺点是微信语音好小，不贴近耳朵几乎听不到，而且打电话的时候听筒里有杂音。优点是充电时间短，电池也比较耐用。听音乐的音质也不错。最大的优点可能就是拍照的效果，有美颜功效。,美颜效果好
手机挺好的，柔光自拍，一级美拍，十级美颜。要买的话，不要犹豫了！！！！！走过路过，千万别错过,美颜效果好
用过苹果5c、魅族note2、小米4C、Note4、ZUK pro2。这次换机用了一个星期，总的感受不错。无论是外观做工，还是成相质量，无愧是旗舰的水平。说说三点不足或是遗憾吧，一、存储是emc5.1，不是ufs2.0；二、是micro usb而非Type C；三、识别普通纸二维码，尤其是条形码，识别率低，经常认不出。另外，微距能力偏弱。确实是旗舰的价格，中端机的配置。,相机功能少/弱
用了一天才点评，机子运行确实快，老婆都快要用某果跟我换了，哈！而且系统非常亲切，以前必须安装第三方软件才能实现的功能，小欧的系统都自带了，方便手残党啊！但大卖点的摄像功能暂时没发现有多厉害，还得继续发掘。机子即使玩游戏也几乎不发热，这点非常满意，不过为什么拍照久了反而机身后背有点热？（我开了相片定位功能）,相机功能少/弱
就两点不好，第一不能抓拍，象苹果秒拍，可以拍下精彩的一刻，步步高稍微动作大点拍的就模糊了?。需要改进让拍照做的更完美。第二点手机耗电量真快，这次我买了两部，一部电量可以用一天，这部就那么耐用了，一个上午就消耗掉一般了，还没有一直在玩。亲身体验。谢谢。,相机功能少/弱
手机很好用。配套专用的充电器充电特别快！用其他充电器就很慢。手机照相返回功能没有必须按主键返回。其他的暂时没有发现,相机功能少/弱
赠品多多，都很实用。64G的大内存用的超爽，再也不要时刻清理缓存了。还有充电速度很快，充5分钟能不能通话2小时不知道，但是相比苹果真的快好多，续航能力也不错，差不多一天一充就可以了。就是用软件打开的摄像头的时候效果就没那么好了，还有录像的时候也没有拍照清晰。,摄像模糊
流畅度不输苹果，功能也很强大?用这手机给我的感觉是终于解放了（本人之前用的苹果）最重要他们说的像素，我本人真心觉得水分太大了 ，尤其在视频的时候画面根本看不清楚**爹啊? 可我偏偏是冲着它的像素去买的，后老悔了,摄像模糊
用了之后只想说 VIVO的广告打的真的太好了 亮点也只是两个前置双摄 后置摄像严重虚化模糊 屏幕触控有时不灵 更难以接受的是WIFI 连接无线网用不了 需要重启才行 用了一个多 因这个重启了七八次…… 对这VIVO手机很失望,摄像模糊
用了几天才来评论的，手机收到打开惊呆了，先说颜值吧，买的金色，很薄，拿起来手感很好，很高大上的样子看了评论才买的，夜拍效果绝对不是吹的，自拍自带美颜，效果也很好很自然，指纹锁非常敏感，赞，大爱,美颜效果好
手机颜色很好看非常喜欢！手机运行也很给力！拍照很清晰特别是前置双摄自带美颜功能很清晰效果棒棒的！音乐带HIFI功能有身在现场的震撼感！很多功能有待慢慢发掘！惊喜不断！,美颜效果好
手机颜色很好看非常喜欢！手机运行也很给力！拍照很清晰特别是前置双摄自带美颜功能很清晰效果棒棒的！音乐带HIFI功能有身在现场的震撼感！很多功能有待慢慢发掘！惊喜不断！ 商家态度好！耐性好！不厌其烦为客户解答疑惑！给力！,美颜效果好
【01-31 #vivo前置双摄X9#】X9怎么设置自拍 美颜最好 [谁能告诉我HDR 和细致美颜是干啥的\t总说我手机拍照丑，好不甘心],美颜效果好
机子轻薄，系统运行很快（中关村在线安卓客户端）优点：外形很漂亮，颜色非常正，机身又是超薄的，屏幕又够大，真的是爱不释手啊！电池我都可以用2天的，看视频，听歌我都玩的。解锁速度那就不是一般的快。把手指放上面秒开啊。真的是太好用啦。照相很清晰，自拍非常棒，我用美颜，那效果非常自然，而且成像速度快，摄像也厉害，4000毫安电池充满，正常待机可以一天多，玩手游也不卡，一直都是用OPPO，支持国产...缺点：就是续航没想像中的好，不过充电快...总结：这款手机性能真心不错，这个价格能买到这样的手机，稀有难得～推荐大家购买！真心喜欢！...,美颜效果好
首先，手机很早5就收到了用了一段时间感觉很不错，自拍挺自然的，带的那个美颜功能也自然，没有把人美化的变形，充电也真是快，真的是一个小时，手感也好。送的那个蓝牙音响很不错，总之是都不错,美颜效果好
外观美美的，红色很正，亮瞎了小伙伴们的双眼。屏幕分辨率有很大提高，拍照像素高，美颜功能比7自然。指纹解锁神速，指纹支付等功能非常方便，算内外兼修，很喜欢。,美颜效果好
非常好 很喜欢 又省电 像素很满意 美颜很自然,美颜效果好
手机很好用，指纹识别也快，手机运行速度也很快，最重要手机相素真心好，可以原图也可以美颜，又清晰又自然，对于我来说，自身是很受用的，物有所值，真心话，是原装，新机子，这个大可放心，给了很多赠品，卖家态度，物流没的说，很赞，附图，本人不漂亮，只是为了给大家个参考，前置摄像头还可补光，相素各方面不亚于美图手机，而且手机本身质量也很过硬，赞,美颜效果好
期待很久的手机，终于都到手啦，物流很快，第二天就到了，拆开包裹后非常惊喜，包装盒子很漂亮呢，最重要还是手机啦，漂亮高大上，运行快，美颜手机，赞。,美颜效果好
手机非常不错，好用，好看，试用了几天一切正常，用的顺手，拍出的相片很美颜，喜欢。,美颜效果好
特意用了一天才来评价，首先谢谢店家送的一大堆礼物，手机设计简单大方，指纹解锁非常快，识别率成功率100％，拍照很清晰，脸上的毛孔都可以拍出来，美颜功能很实用，闪充功能不是吹的，边玩边充从20％充到100％只用了70分钟，6.0英寸的显示屏，6g的运存、64g的机身内存，4000毫安的电池、双卡双待还支持内存卡扩展，一下子感觉高大上，最关键的是手机支持qq、微信分身，对于爱抢红包和做微商的人来说非常实用，总之，有了这款手机，我只能和?6plus说886。,美颜效果好
屏幕很清晰，看起来眼睛很舒服，屏大，感觉非常好。速度很快，年会抢红包神器，速度超过果7，棒棒哒。1600万像素不是盖的，清晰的不要不要的，美颜功能也很强大，厉害了！充一次电用三天，我电话比较多，我是工作用的，每天至少通话2小时，充电很快。,美颜效果好
手机拍照很清楚美颜十分的强大背景虚化也很好，手机运行的速度非常快比我之前的6p还要快和6p一样的大小但是重量上还是x9舒服屏幕细腻。,美颜效果好
物流很快，大红色的外观很好看特别洋气，超薄的机身让我惊喜的是拍照像素真的很高，自动美颜美美哒，微信可以分身，对于用两个微信的我非常方便，指纹解锁太快了，总的说非常满意，卖家服务态度也很好。么么哒赞一个！已推荐朋友买，但官方标配没货买的套餐还可以，耳机重音效果非常好。,美颜效果好
拍照效果：帮同事买的，她很喜欢，不错。 不论是自拍美颜效果、虚化效果都令人惊讶，补光灯不是很刺眼 电池打电话，玩微信可以用2天 比较稳定，没遇到什么问题 比较快。 非常不错！。,美颜效果好
非常不错。身边的朋友好多在用VIVO手机 不论是自拍美颜效果、虚化效果都令人惊讶，补光灯不是很刺眼 ，满意，这是在苏宁第二次买手机了。,美颜效果好
顺丰快递就是快，第三天就到了，玖瑰金很好看，自拍功能非常好，自拍美颜效果、虚化效果都令人惊讶，还送了超多赠品，用了优惠券减了150元，很满意的一次购物。,美颜效果好
顺丰快递就是快，第三天就到了，玖瑰金很好看，自拍功能非常好，自拍美颜效果、虚化效果都令人惊讶，还送了超多赠品，用了优惠券减了150元，很满意的一次购物。 很满意,美颜效果好
操作流畅性：手机收到后感觉蛮大的，也漂亮耐看，不论是手感还是日常使用体验都非常巴适，前后摄像头成长效果也很不错，前摄像头2000w不论是自拍美颜效果、虚化效果都令人惊讶，补光灯不是很刺眼，非常适合自拍直播什么的。拍照效果：拍照很清晰，很多朋友都说超清晰的。 音量很大 ，开最小声还是很大声。。,美颜效果好
续航能力：电量还是挺耐用的，一晚上待机耗电百分之5左右吧。操作流畅性：5.5寸正合适一只手可以操作，玩王者荣耀穿越火线也挺流畅的。信号强度：好好好。充电速度：充电速度也是很快。拍照效果：非常不错。身边的朋友好多在用VIVO手机 不论是自拍美颜效果、虚化效果都令人惊讶，补光灯不是很刺眼。,美颜效果好
拍照很清晰，电量很耐用非常喜欢（中关村在线安卓客户端）优点：oppor9pius，真心不错，手感特别好，看电视玩游戏一点都不卡，拍的照片特别清楚，这也是像素高的功劳呀，而且拍照的一些功能都非常实用，摄像头成像速度快，照片画质棒，自拍还不错，美颜功能很好用。系统运行速度超级快，6gb的运存很不错，上网一点都不卡，存储内存也是非常大的，还支持扩展这个是非常不错的，电量比较大，用两天没问题，重要的是充电速度快呀！...缺点：缺点音质不如之前用的vivoxplay3s，不过也是非常不错的了。...总结：整体是非常得我心，拍照清晰电池耐用，国产手机做得很好了，支持国产。...,美颜效果好
使用满意，拍照出色优点：手机拿在手里很有质感，金属机身非常有感觉，整个设计时尚大气。屏幕大小刚好，拿着手感舒服，玩游戏时候视觉效果也不错，挺满意这一点的。屏幕色彩明亮，画质更清楚，感觉很舒服，性能也还好，基本算是够用了。此外手机的拍照非常不错，买的时候就看中了这个超给力的相机，而且拍照聚焦很快，美颜也好看，导入电脑感觉还不错...缺点：可能因为主打的拍照。感觉玩游戏要差一点...总结：用起来满大气的一部手机，机身轻巧拿着特别上档次。运行速度特别快，散热性能也不错，屏幕分辨率很高很清晰...,美颜效果好
拍照效果：拍照很清晰，相机启动速度也快，美拍效果特别的好，后置像素也很清晰。操作流畅性：操作方便快捷，系统运行流畅不卡顿，内存大很实用，前置指纹识别也比后置更美观实用，整体颜值高。音质：音质清新没有杂音，声音很大。充电速度：双引擎闪充特别的快，方便快捷。,美颜效果好
隔天到的手机，京东快递真给力，送给老婆的礼物?，很喜欢，前置双摄像加智能美颜真的超给力，照亮你的美一点也不假！做工很精致，系统用着很顺畅，开心?,美颜效果好
大屏绝对是最爱，拍照也杠杠的（中关村在线安卓客户端）优点：之前用r7p 现在r9sp oppo手机没真是没的说，只要自己用过，就会喜欢上，无论做工还是体验。拍照更没的说，秒杀果7，和iphone7p想当，摄像头成像效果完美，照片清晰，摄像也厉害。美颜功能也不错，感觉自拍萌萌哒，充电速度快充满电只需一个小时左右，充满电正常玩能玩一天半的样子，6gb的运存感觉太逆天了，这个可得真点个赞，64gb的内存也不错，还支持内存扩展功能。...缺点：更多的功能还在摸索，暂时不做评论...总结：很不错的一款手机，大屏玩游戏很好，下载歌听声音挺大的能下很多首啦，手机电量也OK！非常好的手机！喜欢的赶紧下手把！...,美颜效果好
太喜欢了！没有选错！（中关村在线安卓客户端）优点：冲着大屏幕，闪充和拍照清晰来的，其实运行内存和安卓系统都非常好。第一次用安卓系统，才发现比苹果好多了，觉得一下子解开了禁锢！速度真的很快！指纹解锁特别灵敏！重点说一下拍照，因为女孩子比较喜欢臭美，所以选手机拍照还是蛮重要的，这部手机的美颜功能不错，自拍很自然，而且特别清晰，连毛孔都可以看得见，后置拍照也不错，成像优秀，摄像厉害，照片画质棒。电池容量比较大，以后再也不用天天充电了，音质也还可以，听歌蛮好的。...缺点：希望果断时间不要降价就好...总结：整体非常不错，性价比很高，很好很实用，已经测试，中国人就应该支持国货，非常好的品牌。...,美颜效果好
特意用过几天之后才来评论，感觉不错。有以下几个优点。内存大，运存大屏幕大，耗电少。手机灵敏度高。解锁快。手机薄缝隙小。手机像素不好，像素高，拍照清晰，美颜效果非常棒。感觉非常不错，还送了手机壳和小音箱。黑屏技能非常棒。式子还送你当你上午十点抢得就不知道中奖没中奖。总体感觉还不错。,美颜效果好
很快 有10个小时吧 跟苹果手机一样 有美颜效果，很清晰 不错，送的小音箱很好 可能是客户多吧，客服一般，但是还是好评！,美颜效果好
非常完美的手机哈哈，体验了一下顺丰快递，快递超级快贵的就是不一样呦。手机运行很流畅，没有卡顿，就是实际内存没有64g不过还行。主打就是相素不错吧。拍照挺清晰的。然后美颜算法也不错如果不是特别喜欢自拍的手机自带的也可以。,美颜效果好
之前一直在看这款手机，觉得不错就下单了。颜值很高，玫瑰金挺好看，挺薄，手感不错，天线条也还好，屏幕黑边很窄。骁龙625的处理器只能说中端水平，RAM和ROM都足够用。电池容量不大不小，充电速度还行。前置拍照是亮点，虚化效果、美颜都觉得不错，后置拍照属于16年初的旗舰水平。音质不错，前提是得有个好耳机。送的东西还不错，挺实用的。其他的用过再说吧。,美颜效果好
手机时尚大方有内涵（中关村在线触屏版）优点：外观很是漂亮，时尚大气，屏幕不小，玩游戏看视频完全够用，而且屏幕分辨率高，视觉效果确实不错。像素的话，前后1600万，确实很高，而且聚焦快，拍照清晰，极致美颜也很不错，还有这次的索尼传感器可将大幅提高拍摄效果。指纹识别也做了改进，录入指纹后黑屏的时候也能直接进入系统，识别速度相当快，秒解无压力。还有电池，虽然没有特别大，不过待机时间还蛮长的...缺点：具体说不上来，用着还不错...总结：虽然价格不太亲民，不过到手用这还是满意的，性能出色，很流畅的手机...,美颜效果好
这款手机绝对是超赞，黑色也很大气（中关村在线安卓客户端）优点：与R7plUs比重量轻了，手感好了，运行流畅，下载，听歌，看电影等比上一部要强N倍，整体来说目前相当满意。部分黑科技很合理，用处很大，像打开手电筒，等等。拍照效果非常不错，像素很高，自拍很给力，美颜棒棒哒，后置摄像头成像效果显著，照片画质棒。指纹解锁灵敏，方便了，双击亮屏与熄屏在屏保状态下感觉不错，运行内存6G够大，机身内存64G也能满足了，黑色版真的不错，流畅至极，已下载很多软件，手机也大致研究了一通了，真在更深的研究...缺点：这个手机的截屏功能在下拉菜单里是没有的，我看了下说明书才学会了3指下拉的截屏方式...总结：试用非常不错，外观好看，有些功能非常不错，在9的基础上运行更加顺畅。oppo忠实粉丝，本机还自带微信分身app适合多开。...,美颜效果好
手机超级薄 好看没的说 系统也流畅 没有多余的自带软件 拍照相当清晰了 自拍美颜也是棒棒哒 充电快 下回还买oppo,美颜效果好
宝贝已收到，物流很给力，手机网速很流畅，像素清晰，开启美颜，效果棒棒哒！不大不小正合适，玫瑰金高端大气上档次，赞！????,美颜效果好
拍照效果：拍照很清晰 美颜效果很棒。音质：音质还好吧 声音很大 喇叭在下面 有点不习惯。充电速度：充电速度很快 超级喜欢 一会时间就冲满了。续航能力：一天玩玩王者荣耀 消消乐 能到晚上 很好。信号强度：信号不知道我还没放过手机卡。,美颜效果好
第一次买用的挺好，照相功能美颜功能一级棒，推荐??发货速度快,美颜效果好
专门试用了半个月才来评价！非常满意！充电五分钟，通话两小时是真的做到了！冲一次电，一天都不用担心了，中间还各种看电影！像素很高！高的连我脸上的痘坑都能看见了！幸好有美颜神器！送的蓝牙音响也很好，放上儿歌，女儿每天抱着爱不释手！???,美颜效果好
【 小O资讯◎0118】oppo r9s前置不聚焦？ [刚刚在实体店买了oppor9s 回家后发现前置离的近些就不聚焦 而且非常模糊\t用老妈的千元机 同样的距离 却还清晰一些\t前置真的有1600万吗？\t大家有出现这样的情况吗？还是我买到的这个手机坏了？？ 希望大家能前置拍个照贴图告诉我跪谢],拍照模糊/不清晰
灯光没有我现在用x5亮，摄像头1600，清晰度也就一般，手感不错，,拍照模糊/不清晰
拍照功能适合近距离拍照，远景清晰度一般。电源键左上显示屏边缘凸出楞条两道划痕，系工作人员，贴钢化膜所导致。原本是做好事，但纯属帮倒忙。再买此款手机的用户，一定要当着快递员的面，仔细检查清楚。,拍照模糊/不清晰
旧手机拍得不清楚，用了几个星期，现在才有空来评，手机很漂亮，手感很好，我喜欢，想玩的游戏下载下来玩，很流畅，一点也不卡，爽爽爽&hellip;&hellip;同时运行几个APP软件都没问题，不会卡，一点也不比苹果差，苹果手机都没这么好呢！还送了好多东西，服务也好，物流很快,拍照模糊/不清晰
照相没有高清，照片一放大就看不清楚，很模糊，没有说得那么好&hellip;失望&hellip;,拍照模糊/不清晰
手机使用了好几天了，不错，挺好的音质什么的都挺不错的。最主要的是拍摄特别的清楚。唯一有点遗憾的是送的膜真心不咋地。居然膜上面摄像头的孔都没打。膜贴完了发现拍照不清晰了。只能揭了重新买了个膜，其他的都是特别不错的。客服按照我想要的东西准时发货了。大赞一个！,拍照模糊/不清晰
物流，客服都可以，用了几天和自己购买之前的期望值有出入，拍摄好的图片在本机上看还是可以，但是发在另外其他手机上看相片相片就很模糊不清晰。,拍照模糊/不清晰
【01-25 #vivo前置双摄X9#】vivox9，打王者？网络卡出天际了 [郁闷，感觉拍照不咋滴，清晰归清晰但感觉怪怪的，就好像自动锐化过的感觉，和朋友们聚会自拍，前置并不怎么清晰，一张还好多M内存],拍照模糊/不清晰
发来的照片看不清,拍照模糊/不清晰
【01-12 #vivo前置双摄X9#】后摄像头进尘 [后面摄像头进尘，照相时蒙，拿去手机店有些说不能拆有些说很难拆但又不帮搞，请问下各位有没有拆过的，我的是x3],拍照模糊/不清晰
物流超级快，特地用了三四天才来评价，手机还不错。第一次上网买手机，心情又期待又忐忑，看图片就知道当时拆快递有多猴急。之前X5坏了，就来买9，变化还是挺多的，9的像素尤其好，自拍有朦胧感，拍别人很清晰。电量的话，一般来说，一天一充。,拍照模糊/不清晰
[问题反馈] V8升级后无法使用拍照和摄像功能 把拍照恢复默认值和擦拭镜头都试过了，依然是模糊一片。,拍照模糊/不清晰
手机电池对于我这种每天玩游戏来说一天绝对够用 vivo手机不管是外观还是系统操作都非常不错很方便~！ 充电度那是没得说，真的是很快 上网，打电话基本不会卡很好 这个不用说vivo手机这个本来就是它 的强项 手机用了两天，非常好用，拍照效果非常好，同样光线下苹果拍出来很暗模糊，x9很明亮清晰，还带有美颜功能，女孩子用非常好，还送了很多赠品，谢谢,拍照模糊/不清晰
【01-15 #vivo前置双摄X9#】x9后置拍摄近物模糊，远物清晰怎么办 [如图，求解，是不是我设置了什么乱七八糟的东西],拍照模糊/不清晰
电池不耐用，拍照效果就那样，不是像电视里吹的那么厉害，连最基本的活动拍摄都模糊。运行速度还不错，其他没优势,拍照模糊/不清晰
【01-13 #vivo前置双摄X9#】vivox9plus在微信拍照有点模糊啊怎么办 [],拍照模糊/不清晰
[申诉] 升级后微距拍照模糊不能自动对焦 升级后微距拍照模糊，不能自动对焦！,拍照模糊/不清晰
【 小O资讯◎0107】求帮助 [买两个月的OPPOR9s前置摄像头摔模糊了，怎么办，求解],拍照模糊/不清晰
电池不耐用，和苹果差不多，然后跟其他买家反应的一样，听歌声音特别大，不该大的大，该大的不大，前置摄像头清晰，后置摄像头不行，感觉模糊，其他还好,拍照模糊/不清晰
你现在多少？我刚发了一个求助贴…我这两天发现用微信和企鹅持续打字并且速度稍快就会卡机，而且按键声也会拖延，变声…摄像头也是清晰、模糊一直在重复…没办法对焦,拍照模糊/不清晰
缺点：屏幕换过的前面摄像头模糊！电池也是换过的！不耐用！刷过机APPID用不了！标准翻新机！ 优点：外观挺新.用起来没什么问题、一切正常使用！性价比高！总结：值得购买！,拍照模糊/不清晰
"相册


相机像素不好怎么办模糊",拍照模糊/不清晰
像素太低，照的模糊没有防抖功能。,拍照模糊/不清晰
【 小O资讯◎0117】oppor9s的拍照问题。 [为什么r9s不能抓拍，这点很不好。就是按了快门他不立即拍，而是反应一会才拍，所以按了快门后假如你手抖了，那照片就模糊了。你们的手机是这样的吗？？],拍照模糊/不清晰
我关注vivoX9PLUS已经很久了，终于在12月30日上手了，我是在天猫平台购买的，上午10：03下单购买，下午7：19我就收到货了，真是如风达一样的速度啊！我非常喜欢，打开手机立即体验一下新的功能，柔光背景虚化自拍功能，果不其然，真的跟单反拍出来的照片是一样的效果，我非常喜欢。还有HIFI音乐让我陶醉在歌声之中，这两大功能深深地吸引着我买下了这部手机啊！以前自拍的照片都好黑，还有好模糊，现在再也不用担心了。小V，我爱死你了。我要真正的成为一名V粉，哈哈！感谢VIVO.,拍照模糊/不清晰
[讨论] 微信拍照模糊问题 [复制链接] 今天无意中发现的，微信聊天拍照发送，拍出来的照片就是模糊，拿自带相机拍就是很清楚，怎么回事？,拍照模糊/不清晰
